id	gender	role	language_english	duration_in_days	publications	organic_tweets	follower_global	followees_global	follower_researcher	follower_researcher_phd	follower_researcher_prof	follower_researcher_male	follower_researcher_female	follower_researcher_male_phd	follower_researcher_male_prof	follower_researcher_female_phd	follower_researcher_female_prof	follower_reciprocal_researcher	follower_reciprocal_researcher_phd	follower_reciprocal_researcher_prof	follower_reciprocal_researcher_male	follower_reciprocal_researcher_female	follower_reciprocal_researcher_male_phd	follower_reciprocal_researcher_male_prof	follower_reciprocal_researcher_female_phd	follower_reciprocal_researcher_female_prof	633	NA	NA	1	2728	24	277	92876	1056	844	151	98	402	159	54	50	30	18	75	6	18	36	18	1	8	2	6
1314101	NA	professor	1	2482	38	17	960	409	231	38	42	93	32	12	17	4	9	105	11	30	42	24	4	12	2	6
1320161	male	phd	1	2482	14	324	856	295	113	35	15	56	23	19	7	9	4	29	9	8	14	10	4	3	4	3
1323551	NA	professor	1	2481	2	44	491	495	87	19	18	30	22	9	5	3	7	54	10	18	18	15	6	5	2	7
1340011	male	professor	1	2481	2	398	1813	426	12	1	1	4	5	0	0	1	1	9	0	1	2	4	0	0	0	1
1361151	male	NA	1	2481	1	35	156	701	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1421171	male	NA	1	2480	17	1059	226	224	21	0	3	9	3	0	1	0	1	15	0	3	6	1	0	1	0	1
1444261	NA	NA	1	2480	9	571	1547	534	91	15	16	62	5	11	12	1	1	45	6	9	25	5	3	5	1	1
1468801	male	professor	1	2479	1	625	1888	654	15	1	0	10	1	1	0	0	0	7	0	0	5	1	0	0	0	0
1514211	male	NA	1	2479	9	3	297	292	43	7	13	23	11	3	7	1	4	40	6	13	21	11	3	7	1	4
1527461	NA	NA	1	2479	13	57	719	377	63	7	7	28	4	4	2	0	1	35	2	4	15	1	1	1	0	0
1538351	NA	NA	1	2479	28	3	65	41	7	0	2	3	2	0	1	0	1	2	0	0	1	0	0	0	0	0
1583811	male	NA	1	2478	1	545	5561	2356	32	2	1	27	3	1	1	1	0	13	0	1	13	0	0	1	0	0
1599351	female	NA	1	2478	11	369	2057	2197	38	6	5	15	13	1	1	4	2	33	4	5	13	12	1	1	3	2
1604371	NA	phd	1	2478	21	50	122	247	14	4	2	6	2	1	1	0	0	9	4	2	3	1	1	1	0	0
1625291	male	NA	1	2478	25	2	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1675071	NA	NA	1	2478	13	1374	944	200	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
1689081	male	NA	1	2478	32	199	2545	2176	71	7	5	31	13	3	4	2	1	47	1	4	19	9	0	3	0	1
1689841	male	NA	1	2478	1	2	50	92	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
1705871	male	professor	1	2477	34	1362	754	547	33	2	5	21	3	2	3	0	0	16	1	3	11	3	1	3	0	0
1734101	male	NA	1	2477	1	447	124	200	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
